timestamp,grain_id,perimeter,avg_area_of_neighbors,number_of_neighbors,vulnerable,area,circularity,area_perimeter_ratio,is_vulnerable
0,430,92,410.6666666666667,6,0.0,512,0.7601585248761692,5.565217391304348,0
0,432,71,350.2857142857143,7,0.0,519,1.2937802715438227,7.309859154929577,0
0,457,46,313.3333333333333,6,0.0,196,1.163992741216634,4.260869565217392,0
0,458,65,413.0,5,0.0,386,1.1480755164834653,5.938461538461539,0
0,465,37,325.0,5,0.0,139,1.2759134517136048,3.7567567567567566,0
0,467,22,431.4,5,0.0,54,1.4020330850731308,2.4545454545454546,0
0,485,78,312.0,8,0.0,512,1.0575249432202327,6.564102564102564,0
0,487,62,313.5,6,0.0,310,1.0134169850289656,5.0,0
0,490,38,510.0,5,0.0,139,1.2096437087229397,3.6578947368421053,0
0,491,78,435.2857142857143,7,0.0,504,1.0410011159824166,6.461538461538462,0
0,500,64,367.85714285714283,7,0.0,403,1.2363885150358267,6.296875,0
0,504,91,360.375,8,0.0,725,1.1001833951709212,7.967032967032967,0
0,513,48,379.3333333333333,6,0.0,222,1.210822168571066,4.625,0
0,520,60,451.6,5,0.0,306,1.0681415022205296,5.1,0
0,521,44,259.1666666666667,6,0.0,176,1.1423973285781064,4.0,0
0,525,53,365.8333333333333,6,0.0,257,1.1497177813778239,4.849056603773585,0
0,533,71,428.2,5,0.0,428,1.0669324782673528,6.028169014084507,0
0,534,69,489.3333333333333,6,0.0,427,1.1270405907018204,6.188405797101449,0
0,547,80,447.57142857142856,7,0.0,615,1.2075496762235767,7.6875,0
0,550,85,464.3333333333333,6,0.0,649,1.1287992427292877,7.635294117647059,0
0,552,94,277.3333333333333,9,0.0,850,1.208851858556507,9.042553191489361,0
0,554,93,383.2857142857143,7,0.0,396,0.575359320532574,4.258064516129032,0
0,563,100,425.22222222222223,9,0.0,856,1.0756813245891452,8.56,0
0,573,42,353.6,5,0.0,170,1.2110447870981063,4.0476190476190474,0
0,580,87,554.3333333333334,6,0.0,673,1.1173427696477372,7.735632183908046,0
0,582,91,433.7142857142857,7,0.0,714,1.0834909574510867,7.846153846153846,0
0,588,51,334.3333333333333,6,0.0,233,1.1257071715285225,4.568627450980392,0
0,618,54,307.8333333333333,6,0.0,288,1.241123023640412,5.333333333333333,0
0,626,35,371.5,4,0.0,134,1.3746070712850034,3.8285714285714287,0
